origin area unit,destination area unit,distance (kilometers),time (hours)
Arakura,Awarua,23.448,4.69
Arakura,Belmont,20.779,4.156
Arakura,Berhampore East,27.984,5.597
Arakura,Berhampore West,27.904,5.581
Arakura,Boulcott,7.587,1.517
Arakura,Brentwood,19.568,3.914
Arakura,Brooklyn,26.789,5.358
Arakura,Brooklyn South,27.376,5.475
Arakura,Cannons Creek East,39.305,7.861
Arakura,Cannons Creek North,38.443,7.689
Arakura,Cannons Creek South,39.207,7.841
Arakura,Carterton,110.057,22.011
Arakura,Churton Park North,28.477,5.695
Arakura,Churton Park South,26.321,5.264
Arakura,Clouston Park,23.619,4.724
Arakura,Crofton Downs,27.561,5.512
Arakura,Dannevirke East,259.949,51.99
Arakura,Dannevirke West,259.249,51.85
Arakura,Delaney,15.688,3.138
Arakura,Discovery,42.213,8.444
Arakura,Eastbourne,10.601,2.12
Arakura,Ebdentown,22.78,4.556
Arakura,Eketahuna,185.221,37.044
Arakura,Elderslea,21.461,4.292
Arakura,Elsdon-Takapuwahia,40.009,8.002
Arakura,Emerald Hill,29.888,5.978
Arakura,Endeavour,44.125,8.827
Arakura,Epuni East,6.266,1.253
Arakura,Epuni West,7.071,1.414
Arakura,Esplanade,10.265,2.053
Arakura,Featherston,64.578,12.916
Arakura,Fernlea,4.406,0.881
Arakura,Glendale,2.23,0.446
Arakura,Glenside North,27.905,5.581
Arakura,Gracefield,7.893,1.579
Arakura,Greenacres,33.159,6.632
Arakura,Grenada North,32.205,6.441
Arakura,Grenada Village,28.053,5.611
Arakura,Greytown,86.0,17.2
Arakura,Happy Valley-Owhiro Bay,29.239,5.848
Arakura,Hataitai North,26.433,5.287
Arakura,Heretaunga,17.42,3.484
Arakura,Heretaunga-Silverstream,16.382,3.276
Arakura,Holborn,14.671,2.934
Arakura,Homedale East,5.157,1.031
Arakura,Homedale West,5.877,1.175
Arakura,Hutt Central,8.659,1.732
Arakura,Island Bay East,29.572,5.914
Arakura,Island Bay West,29.849,5.97
Arakura,Johnsonville Central,24.802,4.96
Arakura,Johnsonville East,25.315,5.063
Arakura,Johnsonville North,25.544,5.109
Arakura,Kahutara,82.331,16.466
Arakura,Kaitawa,61.0,12.2
