AU name,AU name,Total_CycleTime,Total_Length
Ngauranga East,Ranui Heights,77.9683189296,20791.5517145601
Ngauranga East,Holborn,79.435071325,21182.6856866747
Ngauranga East,Tawhai,80.1156218092,21364.1658157824
Ngauranga East,Cannons Creek North,80.7795786762,21541.2209803219
Ngauranga East,Delaney,83.2507906547,22200.2108412466
Ngauranga East,Cannons Creek South,83.5924977802,22291.3327413878
Ngauranga East,Cannons Creek East,83.9606241439,22389.4997717097
Ngauranga East,Titahi Bay South,86.1192381858,22965.130182893
Ngauranga East,Elsdon-Takapuwahia,86.2194537174,22991.8543246448
Ngauranga East,Heretaunga-Silverstream,86.2981813627,23012.8483633928
Ngauranga East,Manuka,87.3236896132,23286.3172301973
Ngauranga East,Waitangirua,87.6154645783,23364.1238875446
Ngauranga East,Onepoto,88.3297497583,23554.5999355546
Ngauranga East,Titahi Bay North,88.5117030846,23603.1208225612
Ngauranga East,Adventure,89.30354651,23814.2790693282
Ngauranga East,Heretaunga,89.6498718488,23906.6324930183
Ngauranga East,Resolution,94.7478295555,25266.0878814578
Ngauranga East,Pinehaven,94.8090433524,25282.4115606321
Ngauranga East,Ascot Park,95.2223493838,25392.626502352
Ngauranga East,Trentham South,96.391854987,25704.4946631981
Ngauranga East,Brentwood,97.7049840187,26054.6624049844
Ngauranga East,Discovery,97.9019380875,26107.1834900036
Ngauranga East,Trentham North,98.3722151729,26232.5907127671
Ngauranga East,Poets Block,101.0642146682,26950.4572448449
Ngauranga East,Paremata-Postgate,101.1348343401,26969.2891573702
Ngauranga East,Papakowhai South,101.3291924161,26480.2090185082
Ngauranga East,Papakowhai North,102.506001152,27334.9336405403
Ngauranga East,Wallaceville,104.0462712174,27745.6723246365
Ngauranga East,Elderslea,104.8030219155,27947.4725108108
Ngauranga East,Endeavour,105.0716316307,28019.1017681849
Ngauranga East,Upper Hutt Central,106.4950976237,28398.6926996425
Ngauranga East,Maidstone,109.0197001255,29071.9200334626
Ngauranga East,Ebdentown,109.7526023356,29267.3606228193
Ngauranga East,Clouston Park,112.939405136,30117.1747029425
Ngauranga East,Totara Park,116.8542568388,31161.1351570211
Ngauranga East,Maoribank,123.4043200809,32907.8186882298
Ngauranga East,Mana-Camborne,133.9034262653,35707.5803374094
Ngauranga East,Emerald Hill,136.5141613405,36403.7763574667
Ngauranga East,Te Marua,144.9311499802,38648.3066613835
Ngauranga East,Plimmerton,151.3535960341,40360.9589424281
Ngauranga East,Pukerua Bay,160.4539162021,42787.7109872189
Ngauranga East,Paekakariki,185.9447664191,49585.2710450843
Ngauranga East,Raumati South,208.9272676886,55323.0181141399
Ngauranga East,Raumati Beach,212.6894957674,56717.1988713069
Ngauranga East,Paraparaumu Central,223.3565337347,59561.7423292449
Ngauranga East,Paraparaumu Beach South,223.7861868121,59676.3164832146
Ngauranga East,Paraparaumu Beach North,231.5471953871,61745.9187698836
Ngauranga East,Otaihanga,236.0646929865,62950.584796398
Ngauranga East,Waikanae East,249.573854928,66553.0279807967
Ngauranga East,Waikanae Beach,252.5523147527,66376.9631715893
Ngauranga East,Kaitawa,253.1826566592,67515.3751091331
Ngauranga East,Waikanae Park,261.7634669421,69744.477319701
Ngauranga East,Waikanae West,263.5058962029,70209.1251225847
Ngauranga East,Featherston,356.4120616389,71075.8063550996
Ngauranga East,Martinborough,418.7203507833,87691.350126944
Ngauranga East,Kahutara,430.2445548334,88829.3388984807
Ngauranga East,Greytown,450.312897855,96116.0293460601
Ngauranga East,Tuturumuri,526.8243785488,116519.090864391
Ngauranga East,Carterton,527.1455439085,116604.734960328
Ngauranga East,Waingawa,550.6089763312,122861.650273043
Ngauranga East,Solway South,587.2794845207,132640.452456917
Ngauranga East,Masterton East,588.4023100822,132939.872606652
Ngauranga East,Lansdowne,597.4890647261,135363.00717836
Ngauranga East,Masterton Central,599.6960408944,135951.534156568
Ngauranga East,Masterton Railway,600.8607438212,136262.121603714
Ngauranga East,Masterton West,601.0706428479,136318.094677483
Ngauranga East,Ngaumutawa,607.1732836932,137945.465569575
Ngauranga East,Solway North,607.819581115,138117.811548724
Ngauranga East,Mt Holdsworth,608.4568222142,134419.348803864
Ngauranga East,Opaki-Fernridge,609.9501186005,138685.954878198
Ngauranga East,Whareama,689.1108495526,159795.483132077
Ngauranga East,Eketahuna,808.4489600526,191618.979265409
Ngauranga East,Mangatainoka,858.9772480211,203639.535885963
Ngauranga East,Pahiatua,872.920629229,208811.424379121
Ngauranga East,Owahanga,978.5139469226,230716.045623405
Ngauranga East,Woodville,999.0442267452,242444.383716778
Ngauranga East,Dannevirke West,1090.7053900499,266887.360598022
Ngauranga East,Dannevirke East,1093.3305748876,267587.40988808
Ngauranga East,Norsewood-Herbertville,1109.9977474355,272031.989234193
Mitchelltown,Mitchelltown,0,0
Johnsonville Central,Johnsonville Central,0,0
Johnsonville Central,Johnsonville North,3.8272305883,1020.5948235471
Johnsonville Central,Raroa,4.0726038366,1086.0276897622
Johnsonville Central,Johnsonville East,4.7964247637,1279.0466036644
Johnsonville Central,Churton Park South,6.741222948,1797.6594527892
Johnsonville Central,Paparangi West,7.3356992316,1956.1864617661
Johnsonville Central,Newlands North,7.6558903709,2041.5707655621
Johnsonville Central,Paparangi,8.9638777823,2390.3674086019
Johnsonville Central,Newlands South,10.9981496785,2932.8399142799
Johnsonville Central,Rangoon Heights,11.6022004503,3093.9201200695
Johnsonville Central,Newlands East,13.5793293667,3621.15449779
Johnsonville Central,Woodridge,13.7018489231,3653.8263794901
Johnsonville Central,Glenside North,13.8545301142,3694.5413637924
Johnsonville Central,Grenada Village,14.5988083399,3893.015557296
Johnsonville Central,Churton Park North,14.8267869124,3953.8098433027
Johnsonville Central,Te Kainga,14.8824779777,3968.6607940602
Johnsonville Central,Khandallah Park-Broadmeadows,16.5600679606,3888.0016107184
Johnsonville Central,Ngaio South,18.4413035115,4917.6809363871
Johnsonville Central,Ngauranga West,19.5200607873,5205.3495432692
Johnsonville Central,Awarua,21.5321606193,5741.9094984798
Johnsonville Central,Kaiwharawhara,21.7772604718,5807.269459158
Johnsonville Central,Tawa South,23.9891286053,6397.1009614209
Johnsonville Central,Thorndon-Tinakori Road,28.2802488162,7541.3996843209
Johnsonville Central,Tawa Central,29.1414770417,7771.0605444485
Johnsonville Central,Wilton,29.7558892648,7934.9038039463
Johnsonville Central,Grenada North,29.980811506,7994.883068269
Johnsonville Central,Ngauranga East,30.0534025429,8014.240678103
Johnsonville Central,Wadestown,30.5036910976,8134.3176260337
Johnsonville Central,Greenacres,33.5591106721,8949.0961792271
