TA,Market.Rent.Area,Property.Type,Bedrooms,2013.Q3
Auckland,Herne Bay/St Marys,Total,4,NA
Auckland,Herne Bay/St Marys,Total,5+,NA
Auckland,Herne Bay/St Marys,Total,Total,596.7605633803
Auckland,Hillsborough,Apartment,1,NA
Auckland,Hillsborough,Apartment,2,NA
Auckland,Hillsborough,Apartment,3,NA
Auckland,Hillsborough,Apartment,4,NA
Auckland,Hillsborough,Apartment,5+,NA
Auckland,Hillsborough,Apartment,Total,NA
Auckland,Hillsborough,Flat,1,330.8333333333
Auckland,Hillsborough,Flat,2,385
Auckland,Hillsborough,Flat,3,NA
Auckland,Hillsborough,Flat,4,NA
Auckland,Hillsborough,Flat,5+,NA
Auckland,Hillsborough,Flat,Total,365.7894736842
Auckland,Hillsborough,House,1,NA
Auckland,Hillsborough,House,2,421
Auckland,Hillsborough,House,3,509.8076923077
Auckland,Hillsborough,House,4,531.6666666667
Auckland,Hillsborough,House,5+,NA
Auckland,Hillsborough,House,Total,490.358490566
Auckland,Hillsborough,Total,1,302.7777777778
Auckland,Hillsborough,Total,2,403.9473684211
Auckland,Hillsborough,Total,3,500.8928571429
Auckland,Hillsborough,Total,4,564.3333333333
Auckland,Hillsborough,Total,5+,NA
Auckland,Hillsborough,Total,Total,456.4567901235
Auckland,Kingsland,Apartment,1,NA
Auckland,Kingsland,Apartment,2,475.9090909091
Auckland,Kingsland,Apartment,3,NA
Auckland,Kingsland,Apartment,4,NA
Auckland,Kingsland,Apartment,5+,NA
Auckland,Kingsland,Apartment,Total,482.6923076923
Auckland,Kingsland,Flat,1,NA
Auckland,Kingsland,Flat,2,413.75
Auckland,Kingsland,Flat,3,NA
Auckland,Kingsland,Flat,4,NA
Auckland,Kingsland,Flat,5+,NA
Auckland,Kingsland,Flat,Total,426.0714285714
Auckland,Kingsland,House,1,NA
Auckland,Kingsland,House,2,NA
Auckland,Kingsland,House,3,553.6363636364
Auckland,Kingsland,House,4,711
Auckland,Kingsland,House,5+,NA
Auckland,Kingsland,House,Total,609.1304347826
Auckland,Kingsland,Total,1,380
Auckland,Kingsland,Total,2,455
Auckland,Kingsland,Total,3,553.6363636364
Auckland,Kingsland,Total,4,709.1666666667
Auckland,Kingsland,Total,5+,NA
Auckland,Kingsland,Total,Total,517.6923076923
Auckland,Kohimarama,Apartment,1,NA
Auckland,Kohimarama,Apartment,2,643
Auckland,Kohimarama,Apartment,3,NA
Auckland,Kohimarama,Apartment,4,NA
Auckland,Kohimarama,Apartment,5+,NA
Auckland,Kohimarama,Apartment,Total,673.5714285714
Auckland,Kohimarama,Flat,1,271
Auckland,Kohimarama,Flat,2,460
Auckland,Kohimarama,Flat,3,NA
Auckland,Kohimarama,Flat,4,NA
Auckland,Kohimarama,Flat,5+,NA
Auckland,Kohimarama,Flat,Total,415.8333333333
Auckland,Kohimarama,House,1,NA
Auckland,Kohimarama,House,2,NA
Auckland,Kohimarama,House,3,621
Auckland,Kohimarama,House,4,826.4285714286
Auckland,Kohimarama,House,5+,NA
Auckland,Kohimarama,House,Total,735.36
Auckland,Kohimarama,Total,1,293.5714285714
Auckland,Kohimarama,Total,2,517.5
Auckland,Kohimarama,Total,3,596.5833333333
Auckland,Kohimarama,Total,4,849.5
Auckland,Kohimarama,Total,5+,NA
Auckland,Kohimarama,Total,Total,612.6226415094
Auckland,Lynfield,Apartment,1,NA
Auckland,Lynfield,Apartment,2,NA
Auckland,Lynfield,Apartment,3,NA
Auckland,Lynfield,Apartment,4,NA
Auckland,Lynfield,Apartment,5+,NA
Auckland,Lynfield,Apartment,Total,NA
Auckland,Lynfield,Flat,1,NA
Auckland,Lynfield,Flat,2,364.2857142857
Auckland,Lynfield,Flat,3,NA
Auckland,Lynfield,Flat,4,NA
Auckland,Lynfield,Flat,5+,NA
Auckland,Lynfield,Flat,Total,347.9166666667
Auckland,Lynfield,House,1,NA
Auckland,Lynfield,House,2,380
Auckland,Lynfield,House,3,455.8333333333
Auckland,Lynfield,House,4,507.5
Auckland,Lynfield,House,5+,NA
Auckland,Lynfield,House,Total,462.1
Auckland,Lynfield,Total,1,279
Auckland,Lynfield,Total,2,372.1428571429
Auckland,Lynfield,Total,3,454.4
Auckland,Lynfield,Total,4,515.9090909091
Auckland,Lynfield,Total,5+,NA
Auckland,Lynfield,Total,Total,440.3125
Auckland,Meadowbank,Apartment,1,NA
Auckland,Meadowbank,Apartment,2,NA
Auckland,Meadowbank,Apartment,3,NA
Auckland,Meadowbank,Apartment,4,NA
Auckland,Meadowbank,Apartment,5+,NA
Auckland,Meadowbank,Apartment,Total,NA
Auckland,Meadowbank,Flat,1,283.3333333333
Auckland,Meadowbank,Flat,2,374.5454545455
Auckland,Meadowbank,Flat,3,NA
Auckland,Meadowbank,Flat,4,NA
Auckland,Meadowbank,Flat,5+,NA
Auckland,Meadowbank,Flat,Total,375.7894736842
Auckland,Meadowbank,House,1,NA
Auckland,Meadowbank,House,2,NA
Auckland,Meadowbank,House,3,580.7142857143
Auckland,Meadowbank,House,4,NA
Auckland,Meadowbank,House,5+,NA
Auckland,Meadowbank,House,Total,611.4285714286
Auckland,Meadowbank,Total,1,272.2222222222
