area unit name,number of bedrooms,count,median weekly rent,mean weekly rent
Glenavon,1,132,200,170
Glenavon,2,231,260,210
Glenavon,3,390,380,330
Glenavon,4,96,400,500
Glenavon,5,30,460,380
Glenavon,6+,12,250,250
Glenavon,Not Elsewhere Included,6,0,0
Glenavon,Total,897,300,300
New Windsor,1,72,240,250
New Windsor,2,90,320,300
New Windsor,3,297,400,380
New Windsor,4,78,450,420
New Windsor,5,30,550,510
New Windsor,6+,6,390,360
New Windsor,Not Elsewhere Included,6,,
New Windsor,Total,579,380,360
Avondale South,1,105,150,160
Avondale South,2,114,300,280
Avondale South,3,234,400,370
Avondale South,4,54,450,430
Avondale South,5,9,480,450
Avondale South,6+,3,,
Avondale South,Not Elsewhere Included,3,,
Avondale South,Total,525,350,330
Blockhouse Bay,1,120,180,160
Blockhouse Bay,2,96,320,300
Blockhouse Bay,3,177,410,420
Blockhouse Bay,4,66,500,530
Blockhouse Bay,5,18,540,1170
Blockhouse Bay,6+,3,,
Blockhouse Bay,Not Elsewhere Included,3,,
Blockhouse Bay,Total,489,380,380
Rosebank,1,30,200,190
Rosebank,2,129,280,260
Rosebank,3,273,370,330
Rosebank,4,69,430,420
Rosebank,5,12,330,240
Rosebank,6+,6,140,140
Rosebank,Not Elsewhere Included,6,,
Rosebank,Total,528,340,310
Avondale West,1,75,170,180
Avondale West,2,159,280,310
Avondale West,3,258,360,300
Avondale West,4,69,400,390
Avondale West,5,18,480,480
Avondale West,6+,3,,
Avondale West,Not Elsewhere Included,6,,
Avondale West,Total,591,320,290
Waterview,1,69,110,160
Waterview,2,216,300,250
Waterview,3,189,400,360
Waterview,4,63,430,360
Waterview,5,12,590,580
Waterview,6+,3,,
Waterview,Not Elsewhere Included,0,,
Waterview,Total,552,320,300
Point Chevalier West,1,84,250,220
Point Chevalier West,2,126,340,300
Point Chevalier West,3,105,500,570
Point Chevalier West,4,36,650,600
Point Chevalier West,5,9,480,480
Point Chevalier West,6+,0,,
Point Chevalier West,Not Elsewhere Included,3,,
Point Chevalier West,Total,363,380,410
Point Chevalier East,1,75,240,200
Point Chevalier East,2,183,330,300
Point Chevalier East,3,159,480,550
Point Chevalier East,4,45,630,870
Point Chevalier East,5,6,660,1530
Point Chevalier East,6+,3,,
Point Chevalier East,Not Elsewhere Included,3,,
Point Chevalier East,Total,474,380,400
Point Chevalier South,1,33,210,180
Point Chevalier South,2,96,340,310
Point Chevalier South,3,66,430,430
Point Chevalier South,4,15,590,590
Point Chevalier South,5,6,,
Point Chevalier South,6+,0,,
Point Chevalier South,Not Elsewhere Included,3,,
Point Chevalier South,Total,213,310,390
Westmere,1,78,280,300
Westmere,2,123,360,340
Westmere,3,165,590,610
Westmere,4,60,680,850
Westmere,5,12,460,510
Westmere,6+,3,,
Westmere,Not Elsewhere Included,0,,
Westmere,Total,444,500,530
Herne Bay,1,165,340,350
Herne Bay,2,132,430,450
Herne Bay,3,57,700,1350
Herne Bay,4,24,1260,2810
Herne Bay,5,6,3000,3650
Herne Bay,6+,3,,
Herne Bay,Not Elsewhere Included,6,,
Herne Bay,Total,390,400,750
St Marys,1,180,340,340
St Marys,2,219,490,520
St Marys,3,105,680,1210
St Marys,4,42,800,2150
St Marys,5,9,880,1870
St Marys,6+,6,2330,3000
St Marys,Not Elsewhere Included,0,,
St Marys,Total,561,460,780
Ponsonby West,1,57,300,300
Ponsonby West,2,96,350,320
Ponsonby West,3,75,610,720
Ponsonby West,4,33,810,1820
Ponsonby West,5,12,830,2030
Ponsonby West,6+,6,,
Ponsonby West,Not Elsewhere Included,3,,
Ponsonby West,Total,282,470,730
Ponsonby East,1,147,330,300
Ponsonby East,2,114,520,470
Ponsonby East,3,159,670,780
Ponsonby East,4,69,810,980
Ponsonby East,5,12,900,1690
Ponsonby East,6+,9,5000,5000
Ponsonby East,Not Elsewhere Included,3,,
Ponsonby East,Total,504,550,670
Grey Lynn West,1,114,300,280
Grey Lynn West,2,105,470,470
Grey Lynn West,3,126,650,730
Grey Lynn West,4,63,660,780
Grey Lynn West,5,18,540,540
Grey Lynn West,6+,9,540,1550
Grey Lynn West,Not Elsewhere Included,3,,
Grey Lynn West,Total,441,540,610
Grey Lynn East,1,204,340,340
Grey Lynn East,2,135,450,450
Grey Lynn East,3,93,650,650
Grey Lynn East,4,84,650,800
Grey Lynn East,5,24,840,1340
Grey Lynn East,6+,9,1490,2790
Grey Lynn East,Not Elsewhere Included,0,,
Grey Lynn East,Total,543,450,580
Surrey Crescent,1,150,90,160
Surrey Crescent,2,117,250,270
Surrey Crescent,3,138,500,450
Surrey Crescent,4,54,680,630
Surrey Crescent,5,9,850,1660
Surrey Crescent,6+,3,,
Surrey Crescent,Not Elsewhere Included,3,,
Surrey Crescent,Total,474,270,360
St Lukes North,1,18,270,290
St Lukes North,2,30,360,370
St Lukes North,3,24,530,530
St Lukes North,4,21,640,640
St Lukes North,5,3,,
St Lukes North,6+,3,,
St Lukes North,Not Elsewhere Included,0,,
St Lukes North,Total,102,480,490
Arch Hill,1,93,320,290
Arch Hill,2,90,500,600
Arch Hill,3,90,550,560
Arch Hill,4,30,660,640
Arch Hill,5,9,600,600
Arch Hill,6+,9,5000,5000
Arch Hill,Not Elsewhere Included,0,,
Arch Hill,Total,321,500,530
Eden Terrace,1,195,330,320
Eden Terrace,2,357,430,420
Eden Terrace,3,66,490,480
Eden Terrace,4,33,600,980
Eden Terrace,5,15,860,820
Eden Terrace,6+,3,,
Eden Terrace,Not Elsewhere Included,0,,
Eden Terrace,Total,669,400,450
Epsom North,1,72,290,270
Epsom North,2,144,400,400
Epsom North,3,72,560,540
Epsom North,4,33,740,1040
Epsom North,5,21,1490,2810
Epsom North,6+,3,,
Epsom North,Not Elsewhere Included,0,,
Epsom North,Total,345,420,570
Epsom Central,1,66,280,260
Epsom Central,2,147,390,390
Epsom Central,3,78,610,790
Epsom Central,4,48,790,710
Epsom Central,5,30,860,1170
Epsom Central,6+,6,5000,5000
Epsom Central,Not Elsewhere Included,0,,
Epsom Central,Total,372,430,570
Epsom South,1,45,280,250
Epsom South,2,90,400,540
Epsom South,3,63,590,740
Epsom South,4,45,730,1210
Epsom South,5,15,890,1430
Epsom South,6+,9,800,800
Epsom South,Not Elsewhere Included,0,,
Epsom South,Total,267,450,690
Parnell East,1,87,310,330
Parnell East,2,87,450,650
Parnell East,3,78,600,1080
Parnell East,4,18,950,2220
Parnell East,5,6,990,2050
Parnell East,6+,6,350,350
Parnell East,Not Elsewhere Included,0,,
Parnell East,Total,282,450,780
Parnell West,1,303,350,340
Parnell West,2,339,490,560
Parnell West,3,192,650,990
Parnell West,4,63,830,1530
Parnell West,5,9,3000,3600
Parnell West,6+,9,1570,2890
Parnell West,Not Elsewhere Included,6,,
Parnell West,Total,921,480,680
Mt Hobson,1,60,290,280
Mt Hobson,2,39,400,390
Mt Hobson,3,45,600,600
Mt Hobson,4,18,780,1330
Mt Hobson,5,3,,
Mt Hobson,6+,3,,
Mt Hobson,Not Elsewhere Included,0,,
Mt Hobson,Total,165,400,520
Remuera South,1,57,290,290
Remuera South,2,120,390,380
Remuera South,3,120,600,580
Remuera South,4,69,780,1700
Remuera South,5,21,750,1160
Remuera South,6+,9,620,620
Remuera South,Not Elsewhere Included,3,,
Remuera South,Total,396,470,680
Abbotts Park,1,60,270,260
Abbotts Park,2,135,370,380
Abbotts Park,3,156,550,530
Abbotts Park,4,81,660,810
Abbotts Park,5,24,650,590
Abbotts Park,6+,6,900,900
Abbotts Park,Not Elsewhere Included,0,,
Abbotts Park,Total,456,490,520
Remuera West,1,45,280,290
Remuera West,2,108,400,400
Remuera West,3,111,580,820
Remuera West,4,42,750,1650
Remuera West,5,18,1420,2890
Remuera West,6+,6,800,2150
Remuera West,Not Elsewhere Included,0,,
Remuera West,Total,333,550,850
Waitaramoa,1,33,310,320
Waitaramoa,2,87,390,390
Waitaramoa,3,75,610,770
Waitaramoa,4,36,850,2260
Waitaramoa,5,15,670,2000
Waitaramoa,6+,9,5000,5000
Waitaramoa,Not Elsewhere Included,0,,
Waitaramoa,Total,252,500,930
Orakei South,1,33,290,290
Orakei South,2,87,400,380
Orakei South,3,75,590,770
Orakei South,4,39,770,1670
Orakei South,5,9,2280,2950
Orakei South,6+,6,3000,3600
Orakei South,Not Elsewhere Included,0,,
Orakei South,Total,249,480,800
Waiata,1,33,340,300
Waiata,2,72,430,460
Waiata,3,60,630,1090
Waiata,4,42,780,1580
Waiata,5,15,1590,2810
Waiata,6+,3,,
Waiata,Not Elsewhere Included,0,,
Waiata,Total,219,510,930
Meadowbank North,1,129,250,240
Meadowbank North,2,282,350,340
Meadowbank North,3,180,500,490
Meadowbank North,4,81,700,790
Meadowbank North,5,15,520,420
Meadowbank North,6+,6,2230,2900
Meadowbank North,Not Elsewhere Included,0,,
Meadowbank North,Total,687,360,430
Meadowbank South,1,15,300,280
Meadowbank South,2,78,400,400
Meadowbank South,3,156,530,520
Meadowbank South,4,66,680,670
Meadowbank South,5,15,680,680
Meadowbank South,6+,3,,
Meadowbank South,Not Elsewhere Included,0,,
Meadowbank South,Total,336,520,560
Orakei North,1,72,110,190
Orakei North,2,291,160,260
Orakei North,3,216,400,510
Orakei North,4,96,650,890
Orakei North,5,21,740,1390
Orakei North,6+,6,,
Orakei North,Not Elsewhere Included,0,,
Orakei North,Total,702,310,470
Mission Bay,1,147,300,310
Mission Bay,2,297,410,410
Mission Bay,3,144,590,670
Mission Bay,4,60,750,1440
Mission Bay,5,15,2260,2930
Mission Bay,6+,3,,
Mission Bay,Not Elsewhere Included,3,,
Mission Bay,Total,669,430,590
Kohimarama West,1,48,310,310
Kohimarama West,2,108,450,450
Kohimarama West,3,96,610,900
Kohimarama West,4,45,830,2130
Kohimarama West,5,18,2330,3200
Kohimarama West,6+,0,,
Kohimarama West,Not Elsewhere Included,0,,
Kohimarama West,Total,318,500,880
Kohimarama East,1,36,280,290
Kohimarama East,2,78,400,400
Kohimarama East,3,78,530,670
Kohimarama East,4,45,800,1370
Kohimarama East,5,24,780,1700
Kohimarama East,6+,3,,
Kohimarama East,Not Elsewhere Included,0,,
Kohimarama East,Total,264,500,750
St Heliers,1,51,320,320
St Heliers,2,159,410,430
St Heliers,3,117,610,740
St Heliers,4,63,870,1930
St Heliers,5,18,3670,3850
St Heliers,6+,6,850,2170
St Heliers,Not Elsewhere Included,0,,
St Heliers,Total,417,520,790
Glendowie,1,21,300,280
Glendowie,2,60,390,370
Glendowie,3,60,640,880
Glendowie,4,36,700,950
Glendowie,5,9,670,1690
Glendowie,6+,0,,
Glendowie,Not Elsewhere Included,0,,
Glendowie,Total,189,460,700
Glen Innes North,1,96,170,210
Glen Innes North,2,102,380,350
Glen Innes North,3,177,500,410
Glen Innes North,4,75,680,780
Glen Innes North,5,6,600,1890
Glen Innes North,6+,3,,
Glen Innes North,Not Elsewhere Included,3,,
Glen Innes North,Total,462,420,440
Glen Innes West,1,42,140,160
Glen Innes West,2,183,130,210
Glen Innes West,3,324,220,240
Glen Innes West,4,60,340,290
Glen Innes West,5,21,260,340
Glen Innes West,6+,6,140,140
Glen Innes West,Not Elsewhere Included,12,100,100
Glen Innes West,Total,651,200,260
Glen Innes East,1,6,180,180
Glen Innes East,2,147,100,170
Glen Innes East,3,216,130,210
Glen Innes East,4,33,140,220
Glen Innes East,5,0,,
Glen Innes East,6+,3,,
Glen Innes East,Not Elsewhere Included,3,,
Glen Innes East,Total,417,130,200
Point England,1,111,70,90
Point England,2,318,100,150
Point England,3,327,140,220
Point England,4,63,300,600
Point England,5,18,100,220
Point England,6+,9,110,180
Point England,Not Elsewhere Included,12,80,80
Point England,Total,855,110,170
St Johns,1,96,240,230
St Johns,2,234,310,320
St Johns,3,123,420,400
St Johns,4,30,550,520
St Johns,5,6,380,380
St Johns,6+,3,,
St Johns,Not Elsewhere Included,3,,
St Johns,Total,498,340,340
Stonefields,1,0,,
Stonefields,2,12,350,340
Stonefields,3,18,640,590
Stonefields,4,48,750,710
Stonefields,5,9,850,1570
Stonefields,6+,0,,
Stonefields,Not Elsewhere Included,0,,
Stonefields,Total,84,720,790
Newmarket,1,201,310,300
Newmarket,2,270,440,450
Newmarket,3,138,600,690
Newmarket,4,39,680,1000
Newmarket,5,15,880,2500
Newmarket,6+,3,,
Newmarket,Not Elsewhere Included,0,,
Newmarket,Total,672,430,530
Kingsland,1,111,320,330
Kingsland,2,273,420,400
Kingsland,3,189,500,490
Kingsland,4,93,610,560
Kingsland,5,27,750,1180
Kingsland,6+,12,890,2200
Kingsland,Not Elsewhere Included,6,,
Kingsland,Total,708,450,510
St Lukes,1,165,280,280
St Lukes,2,444,330,320
St Lukes,3,240,450,450
St Lukes,4,54,620,580
St Lukes,5,21,660,710
St Lukes,6+,9,2290,2950
St Lukes,Not Elsewhere Included,0,,
St Lukes,Total,939,360,400
Sandringham North,1,102,280,270
Sandringham North,2,222,380,430
Sandringham North,3,102,520,500
Sandringham North,4,42,600,580
Sandringham North,5,15,750,1670
Sandringham North,6+,3,,
Sandringham North,Not Elsewhere Included,0,,
Sandringham North,Total,486,380,410
Sandringham West,1,78,280,270
Sandringham West,2,399,350,350
Sandringham West,3,186,460,450
Sandringham West,4,60,520,470
Sandringham West,5,6,810,810
Sandringham West,6+,3,,
Sandringham West,Not Elsewhere Included,3,,
Sandringham West,Total,732,360,380
Sandringham East,1,87,270,240
Sandringham East,2,246,330,290
Sandringham East,3,120,450,420
Sandringham East,4,45,510,490
Sandringham East,5,6,490,450
Sandringham East,6+,3,,
Sandringham East,Not Elsewhere Included,3,,
Sandringham East,Total,519,330,370
Mt Albert Central,1,108,270,240
Mt Albert Central,2,318,350,340
Mt Albert Central,3,165,470,440
Mt Albert Central,4,66,590,570
Mt Albert Central,5,15,590,560
Mt Albert Central,6+,0,,
Mt Albert Central,Not Elsewhere Included,3,,
Mt Albert Central,Total,675,360,370
Springleigh,1,63,260,240
Springleigh,2,195,320,310
Springleigh,3,111,430,390
Springleigh,4,33,560,480
Springleigh,5,6,520,520
Springleigh,6+,3,,
Springleigh,Not Elsewhere Included,3,,
Springleigh,Total,411,340,350
Owairaka West,1,45,250,210
Owairaka West,2,198,270,230
Owairaka West,3,159,330,300
Owairaka West,4,33,400,350
Owairaka West,5,9,800,2020
Owairaka West,6+,9,740,640
Owairaka West,Not Elsewhere Included,3,,
Owairaka West,Total,456,310,310
Owairaka East,1,102,200,180
Owairaka East,2,189,330,320
Owairaka East,3,159,400,370
Owairaka East,4,51,610,580
Owairaka East,5,18,750,700
Owairaka East,6+,9,500,1900
Owairaka East,Not Elsewhere Included,6,,
Owairaka East,Total,534,350,390
Mt Eden North,1,312,280,320
Mt Eden North,2,222,390,380
Mt Eden North,3,114,500,510
Mt Eden North,4,33,660,700
Mt Eden North,5,12,690,1370
Mt Eden North,6+,12,800,800
Mt Eden North,Not Elsewhere Included,3,,
Mt Eden North,Total,708,340,370
Sherbourne,1,252,280,270
Sherbourne,2,189,380,360
Sherbourne,3,48,600,590
Sherbourne,4,33,640,1020
Sherbourne,5,12,930,2260
Sherbourne,6+,6,670,670
Sherbourne,Not Elsewhere Included,3,,
Sherbourne,Total,537,330,440
Balmoral,1,264,280,280
Balmoral,2,195,370,370
Balmoral,3,132,520,510
Balmoral,4,66,660,1040
Balmoral,5,21,750,1270
Balmoral,6+,12,810,2120
Balmoral,Not Elsewhere Included,6,370,400
Balmoral,Total,696,350,450
Mt Eden East,1,105,270,280
Mt Eden East,2,153,370,370
Mt Eden East,3,45,450,470
Mt Eden East,4,27,800,1620
Mt Eden East,5,6,,
Mt Eden East,6+,3,,
Mt Eden East,Not Elsewhere Included,0,,
Mt Eden East,Total,336,360,480
Maungawhau,1,117,280,290
Maungawhau,2,141,360,360
Maungawhau,3,111,490,490
Maungawhau,4,57,640,620
Maungawhau,5,18,600,620
Maungawhau,6+,9,700,630
Maungawhau,Not Elsewhere Included,0,,
Maungawhau,Total,453,390,460
Mt Eden South,1,120,230,200
Mt Eden South,2,195,350,320
Mt Eden South,3,150,510,480
Mt Eden South,4,75,610,780
Mt Eden South,5,30,800,740
Mt Eden South,6+,6,820,780
Mt Eden South,Not Elsewhere Included,0,,
Mt Eden South,Total,579,380,400
Three Kings,1,138,260,220
Three Kings,2,363,290,250
Three Kings,3,258,420,410
Three Kings,4,72,550,510
Three Kings,5,21,580,500
Three Kings,6+,6,260,260
Three Kings,Not Elsewhere Included,12,90,80
Three Kings,Total,873,310,300
Royal Oak,1,48,280,250
Royal Oak,2,225,400,390
Royal Oak,3,168,500,490
Royal Oak,4,75,690,600
Royal Oak,5,21,720,730
Royal Oak,6+,6,690,690
Royal Oak,Not Elsewhere Included,3,,
Royal Oak,Total,546,420,440
Hillsborough West,1,99,250,230
Hillsborough West,2,204,330,300
Hillsborough West,3,282,430,410
Hillsborough West,4,126,520,500
Hillsborough West,5,39,560,820
Hillsborough West,6+,12,650,630
Hillsborough West,Not Elsewhere Included,6,,
Hillsborough West,Total,768,400,380
Hillsborough East,1,60,260,260
Hillsborough East,2,138,320,310
Hillsborough East,3,129,440,430
Hillsborough East,4,54,550,530
Hillsborough East,5,21,550,500
Hillsborough East,6+,6,,
Hillsborough East,Not Elsewhere Included,3,,
Hillsborough East,Total,405,380,400
Walmsley,1,30,190,210
Walmsley,2,192,120,190
Walmsley,3,294,210,240
Walmsley,4,96,380,480
Walmsley,5,12,650,650
Walmsley,6+,9,130,270
Walmsley,Not Elsewhere Included,3,,
Walmsley,Total,636,200,240
Wesley,1,93,90,110
Wesley,2,114,140,200
Wesley,3,189,350,290
Wesley,4,54,390,350
Wesley,5,6,600,600
Wesley,6+,0,,
Wesley,Not Elsewhere Included,6,60,60
Wesley,Total,459,190,240
Akarana,1,72,90,120
Akarana,2,264,210,220
Akarana,3,354,350,290
Akarana,4,126,300,330
Akarana,5,27,480,460
Akarana,6+,6,580,490
Akarana,Not Elsewhere Included,9,0,0
Akarana,Total,855,290,290
Lynfield North,1,51,200,190
Lynfield North,2,141,310,300
Lynfield North,3,240,400,390
Lynfield North,4,93,460,450
Lynfield North,5,15,580,1110
Lynfield North,6+,6,490,490
Lynfield North,Not Elsewhere Included,6,,
Lynfield North,Total,552,380,380
Lynfield South,1,36,230,230
Lynfield South,2,120,290,260
Lynfield South,3,147,410,390
Lynfield South,4,51,470,490
Lynfield South,5,21,500,450
Lynfield South,6+,6,,
Lynfield South,Not Elsewhere Included,3,,
Lynfield South,Total,378,390,370
Waikowhai West,1,24,270,260
Waikowhai West,2,96,310,450
Waikowhai West,3,90,410,410
Waikowhai West,4,48,550,530
Waikowhai West,5,12,630,660
Waikowhai West,6+,3,,
Waikowhai West,Not Elsewhere Included,0,,
Waikowhai West,Total,276,400,440
Waikowhai East,1,54,230,220
Waikowhai East,2,135,300,260
Waikowhai East,3,276,300,280
Waikowhai East,4,63,460,610
Waikowhai East,5,21,600,550
Waikowhai East,6+,9,480,440
Waikowhai East,Not Elsewhere Included,6,,
Waikowhai East,Total,561,310,320
Mt St John,1,45,290,280
Mt St John,2,201,390,390
Mt St John,3,96,530,500
Mt St John,4,60,720,1190
Mt St John,5,21,910,1530
Mt St John,6+,9,500,500
Mt St John,Not Elsewhere Included,0,,
Mt St John,Total,429,420,550
One Tree Hill Central,1,48,240,220
One Tree Hill Central,2,111,380,360
One Tree Hill Central,3,51,560,500
One Tree Hill Central,4,36,730,1800
One Tree Hill Central,5,9,870,2190
One Tree Hill Central,6+,0,,
One Tree Hill Central,Not Elsewhere Included,6,230,280
One Tree Hill Central,Total,264,380,610
One Tree Hill East,1,72,250,220
One Tree Hill East,2,234,360,310
One Tree Hill East,3,255,470,440
One Tree Hill East,4,90,600,590
One Tree Hill East,5,18,670,630
One Tree Hill East,6+,3,,
One Tree Hill East,Not Elsewhere Included,0,,
One Tree Hill East,Total,675,420,440
Penrose,1,9,350,320
Penrose,2,63,350,370
Penrose,3,30,450,470
Penrose,4,9,580,570
Penrose,5,3,,
Penrose,6+,0,,
Penrose,Not Elsewhere Included,0,,
Penrose,Total,111,380,380
Onehunga North West,1,123,160,170
Onehunga North West,2,381,330,320
Onehunga North West,3,123,430,390
Onehunga North West,4,42,510,490
Onehunga North West,5,9,500,480
Onehunga North West,6+,3,,
Onehunga North West,Not Elsewhere Included,6,,
Onehunga North West,Total,687,330,330
Onehunga North East,1,57,250,240
Onehunga North East,2,309,350,330
Onehunga North East,3,129,450,440
Onehunga North East,4,27,600,600
Onehunga North East,5,12,600,1900
Onehunga North East,6+,3,,
Onehunga North East,Not Elsewhere Included,0,,
Onehunga North East,Total,534,360,390
Onehunga South West,1,63,280,270
Onehunga South West,2,183,310,280
Onehunga South West,3,126,420,420
Onehunga South West,4,42,500,470
Onehunga South West,5,12,590,580
Onehunga South West,6+,6,,
Onehunga South West,Not Elsewhere Included,3,,
Onehunga South West,Total,438,350,350
Onehunga South East,1,156,160,190
Onehunga South East,2,363,310,270
Onehunga South East,3,186,420,470
Onehunga South East,4,42,430,420
Onehunga South East,5,6,330,270
Onehunga South East,6+,3,,
Onehunga South East,Not Elsewhere Included,6,,
Onehunga South East,Total,762,330,310
Oranga,1,48,120,150
Oranga,2,255,200,210
Oranga,3,225,370,370
Oranga,4,78,170,250
Oranga,5,27,300,410
Oranga,6+,9,690,690
Oranga,Not Elsewhere Included,3,,
Oranga,Total,645,230,250
Te Papapa,1,63,170,440
Te Papapa,2,279,330,350
Te Papapa,3,135,400,370
Te Papapa,4,39,290,300
Te Papapa,5,3,,
Te Papapa,6+,3,,
Te Papapa,Not Elsewhere Included,6,110,110
Te Papapa,Total,528,340,340
Ellerslie North,1,135,190,180
Ellerslie North,2,360,340,330
Ellerslie North,3,285,490,470
Ellerslie North,4,75,600,570
Ellerslie North,5,21,590,520
Ellerslie North,6+,9,0,0
Ellerslie North,Not Elsewhere Included,3,,
Ellerslie North,Total,888,370,380
Ellerslie South,1,18,250,210
Ellerslie South,2,180,360,340
Ellerslie South,3,111,460,450
Ellerslie South,4,27,600,550
Ellerslie South,5,6,,
Ellerslie South,6+,6,,
Ellerslie South,Not Elsewhere Included,0,,
Ellerslie South,Total,351,400,390
Mt Wellington Domain,1,66,240,230
Mt Wellington Domain,2,129,320,300
Mt Wellington Domain,3,102,360,310
Mt Wellington Domain,4,21,500,500
Mt Wellington Domain,5,3,,
Mt Wellington Domain,6+,3,,
Mt Wellington Domain,Not Elsewhere Included,3,,
Mt Wellington Domain,Total,321,330,320
Mt Wellington West,1,42,240,240
Mt Wellington West,2,252,320,300
Mt Wellington West,3,111,430,550
Mt Wellington West,4,21,320,350
Mt Wellington West,5,6,630,630
Mt Wellington West,6+,3,,
Mt Wellington West,Not Elsewhere Included,0,,
Mt Wellington West,Total,435,340,350
Mt Wellington North,1,78,180,160
Mt Wellington North,2,192,320,370
Mt Wellington North,3,231,390,340
Mt Wellington North,4,36,450,450
Mt Wellington North,5,9,510,430
Mt Wellington North,6+,3,,
Mt Wellington North,Not Elsewhere Included,3,,
Mt Wellington North,Total,555,330,340
Ferndale,1,81,240,210
Ferndale,2,345,320,300
Ferndale,3,246,400,370
Ferndale,4,63,490,460
Ferndale,5,6,580,580
Ferndale,6+,3,,
Ferndale,Not Elsewhere Included,6,,
Ferndale,Total,753,350,340
Hamlin,1,42,240,230
Hamlin,2,246,320,300
Hamlin,3,330,400,390
Hamlin,4,69,450,420
Hamlin,5,12,470,490
Hamlin,6+,3,,
Hamlin,Not Elsewhere Included,0,,
Hamlin,Total,705,350,370
Mt Wellington South,1,54,220,210
Mt Wellington South,2,243,300,270
Mt Wellington South,3,330,350,300
Mt Wellington South,4,93,400,380
Mt Wellington South,5,15,480,440
Mt Wellington South,6+,6,370,370
Mt Wellington South,Not Elsewhere Included,3,,
Mt Wellington South,Total,747,300,290
Tamaki,1,69,90,130
Tamaki,2,219,130,180
Tamaki,3,354,270,250
Tamaki,4,60,380,310
Tamaki,5,15,620,620
Tamaki,6+,6,,
Tamaki,Not Elsewhere Included,3,,
Tamaki,Total,732,200,230
Panmure Basin,1,51,230,230
Panmure Basin,2,201,320,310
Panmure Basin,3,117,420,520
Panmure Basin,4,33,500,520
Panmure Basin,5,3,,
Panmure Basin,6+,3,,
Panmure Basin,Not Elsewhere Included,0,,
Panmure Basin,Total,405,350,390
Waiheke Island,1,192,220,230
Waiheke Island,2,348,300,300
Waiheke Island,3,336,370,410
Waiheke Island,4,81,440,470
Waiheke Island,5,15,470,1560
Waiheke Island,6+,6,530,530
Waiheke Island,Not Elsewhere Included,0,,
Waiheke Island,Total,981,320,350
Bays-Waiheke Island,1,,,
Bays-Waiheke Island,2,,,
Bays-Waiheke Island,3,,,
Bays-Waiheke Island,4,,,
Bays-Waiheke Island,5,,,
Bays-Waiheke Island,6+,,,
Bays-Waiheke Island,Not Elsewhere Included,,,
Bays-Waiheke Island,Total,,,
Tidal-Waiheke Island,1,,,
Tidal-Waiheke Island,2,,,
Tidal-Waiheke Island,3,,,
Tidal-Waiheke Island,4,,,
Tidal-Waiheke Island,5,,,
Tidal-Waiheke Island,6+,,,
Tidal-Waiheke Island,Not Elsewhere Included,,,
Tidal-Waiheke Island,Total,,,
Islands-Motutapu Rangitoto Rakino,1,,,
Islands-Motutapu Rangitoto Rakino,2,,,
Islands-Motutapu Rangitoto Rakino,3,,,
Islands-Motutapu Rangitoto Rakino,4,,,
Islands-Motutapu Rangitoto Rakino,5,,,
Islands-Motutapu Rangitoto Rakino,6+,,,
Islands-Motutapu Rangitoto Rakino,Not Elsewhere Included,,,
Islands-Motutapu Rangitoto Rakino,Total,3,,
Great Barrier Island,1,24,140,120
Great Barrier Island,2,30,170,160
Great Barrier Island,3,21,220,200
Great Barrier Island,4,6,230,230
Great Barrier Island,5,0,,
Great Barrier Island,6+,0,,
Great Barrier Island,Not Elsewhere Included,0,,
Great Barrier Island,Total,78,140,140
Paerata-Cape Hill,1,6,200,210
Paerata-Cape Hill,2,6,,
Paerata-Cape Hill,3,45,270,280
Paerata-Cape Hill,4,15,280,370
Paerata-Cape Hill,5,3,,
Paerata-Cape Hill,6+,3,,
Paerata-Cape Hill,Not Elsewhere Included,0,,
Paerata-Cape Hill,Total,81,270,470
Eden Road-Hill Top,1,3,,
Eden Road-Hill Top,2,15,230,230
Eden Road-Hill Top,3,24,300,270
Eden Road-Hill Top,4,9,470,430
Eden Road-Hill Top,5,0,,
Eden Road-Hill Top,6+,0,,
Eden Road-Hill Top,Not Elsewhere Included,3,,
Eden Road-Hill Top,Total,54,290,290
Redoubt,1,,,
Redoubt,2,,,
Redoubt,3,9,160,220
Redoubt,4,,,
Redoubt,5,,,
Redoubt,6+,,,
Redoubt,Not Elsewhere Included,,,
Redoubt,Total,15,240,240
Opuawhanga,1,3,,
Opuawhanga,2,3,,
Opuawhanga,3,9,100,230
Opuawhanga,4,6,,
Opuawhanga,5,0,,
Opuawhanga,6+,0,,
Opuawhanga,Not Elsewhere Included,0,,
Opuawhanga,Total,21,240,270
Buckland,1,0,,
Buckland,2,6,280,280
Buckland,3,18,370,360
Buckland,4,6,450,420
Buckland,5,3,,
Buckland,6+,0,,
Buckland,Not Elsewhere Included,0,,
Buckland,Total,36,340,350
Buckland South,1,3,,
Buckland South,2,12,220,240
Buckland South,3,27,290,280
Buckland South,4,15,380,390
Buckland South,5,3,,
Buckland South,6+,0,,
Buckland South,Not Elsewhere Included,0,,
Buckland South,Total,60,280,300
Patumahoe,1,12,200,200
Patumahoe,2,27,260,250
Patumahoe,3,51,320,300
Patumahoe,4,27,340,360
Patumahoe,5,9,380,340
Patumahoe,6+,3,,
Patumahoe,Not Elsewhere Included,0,,
Patumahoe,Total,132,290,290
Kingseat,1,33,200,200
Kingseat,2,93,250,260
Kingseat,3,210,300,310
Kingseat,4,90,390,410
