area unit number,area unit name, number of bedrooms in dwelling,count,median rent paid,mean rent paid
563101,Hokowhitu West,1,51,160,170
563101,Hokowhitu West,2,225,210,200
563101,Hokowhitu West,3,120,300,420
563101,Hokowhitu West,4,96,350,360
563101,Hokowhitu West,5,57,420,410
563101,Hokowhitu West,6+,12,600,510
563101,Hokowhitu West,Not Elsewhere Included,0,,
563101,Hokowhitu West,Total,561,270,310
563102,Hokowhitu Lagoon,1,12,110,120
563102,Hokowhitu Lagoon,2,42,260,270
563102,Hokowhitu Lagoon,3,54,320,320
563102,Hokowhitu Lagoon,4,18,420,420
563102,Hokowhitu Lagoon,5,3,,
563102,Hokowhitu Lagoon,6+,3,,
563102,Hokowhitu Lagoon,Not Elsewhere Included,0,,
563102,Hokowhitu Lagoon,Total,129,300,300
563200,Hokowhitu East,1,21,150,160
563200,Hokowhitu East,2,144,240,230
563200,Hokowhitu East,3,267,290,330
563200,Hokowhitu East,4,96,320,320
563200,Hokowhitu East,5,21,430,380
563200,Hokowhitu East,6+,6,,
563200,Hokowhitu East,Not Elsewhere Included,3,,
563200,Hokowhitu East,Total,552,280,270
563300,Aokautere,1,6,140,140
563300,Aokautere,2,18,120,140
563300,Aokautere,3,33,340,340
563300,Aokautere,4,45,380,350
563300,Aokautere,5,9,470,470
563300,Aokautere,6+,0,,
563300,Aokautere,Not Elsewhere Included,0,,
563300,Aokautere,Total,117,350,330
563500,Shannon,1,18,130,120
563500,Shannon,2,33,150,140
563500,Shannon,3,60,180,180
563500,Shannon,4,9,190,190
563500,Shannon,5,3,,
563500,Shannon,6+,0,,
563500,Shannon,Not Elsewhere Included,0,,
563500,Shannon,Total,123,160,160
563600,Waitarere,1,3,,
563600,Waitarere,2,18,150,150
563600,Waitarere,3,24,230,240
563600,Waitarere,4,6,240,240
563600,Waitarere,5,3,,
563600,Waitarere,6+,0,,
563600,Waitarere,Not Elsewhere Included,0,,
563600,Waitarere,Total,54,200,190
563701,Waikanae Beach,1,18,190,200
563701,Waikanae Beach,2,75,260,250
563701,Waikanae Beach,3,135,310,390
563701,Waikanae Beach,4,30,350,320
563701,Waikanae Beach,5,3,,
563701,Waikanae Beach,6+,6,,
563701,Waikanae Beach,Not Elsewhere Included,3,,
563701,Waikanae Beach,Total,267,290,290
563703,Waikanae East,1,3,,
563703,Waikanae East,2,30,260,230
563703,Waikanae East,3,48,320,320
563703,Waikanae East,4,18,370,350
563703,Waikanae East,5,3,,
563703,Waikanae East,6+,0,,
563703,Waikanae East,Not Elsewhere Included,0,,
563703,Waikanae East,Total,102,300,410
563704,Peka Peka,1,6,,
563704,Peka Peka,2,6,,
563704,Peka Peka,3,3,,
563704,Peka Peka,4,3,,
563704,Peka Peka,5,0,,
563704,Peka Peka,6+,0,,
563704,Peka Peka,Not Elsewhere Included,0,,
563704,Peka Peka,Total,18,200,210
563705,Waikanae Park,1,6,210,210
563705,Waikanae Park,2,36,270,240
563705,Waikanae Park,3,45,320,320
563705,Waikanae Park,4,21,290,320
563705,Waikanae Park,5,6,,
563705,Waikanae Park,6+,3,,
563705,Waikanae Park,Not Elsewhere Included,0,,
563705,Waikanae Park,Total,111,300,300
563706,Waikanae West,1,15,100,150
563706,Waikanae West,2,108,250,220
563706,Waikanae West,3,84,330,320
563706,Waikanae West,4,15,380,390
563706,Waikanae West,5,6,0,0
563706,Waikanae West,6+,3,,
563706,Waikanae West,Not Elsewhere Included,0,,
563706,Waikanae West,Total,231,290,280
563801,Tokomaru,1,0,,
563801,Tokomaru,2,6,190,180
563801,Tokomaru,3,24,190,200
563801,Tokomaru,4,9,260,260
563801,Tokomaru,5,3,,
563801,Tokomaru,6+,0,,
563801,Tokomaru,Not Elsewhere Included,0,,
563801,Tokomaru,Total,42,200,200
563802,Opiki,1,0,,
563802,Opiki,2,3,,
563802,Opiki,3,15,140,140
563802,Opiki,4,12,100,110
563802,Opiki,5,3,,
563802,Opiki,6+,0,,
563802,Opiki,Not Elsewhere Included,0,,
563802,Opiki,Total,33,130,140
563920,Kaitawa,1,3,,
563920,Kaitawa,2,3,,
563920,Kaitawa,3,6,350,380
563920,Kaitawa,4,6,,
563920,Kaitawa,5,0,,
563920,Kaitawa,6+,0,,
563920,Kaitawa,Not Elsewhere Included,0,,
563920,Kaitawa,Total,18,170,190
564011,Lake Horowhenua,1,3,,
564011,Lake Horowhenua,2,3,,
564011,Lake Horowhenua,3,18,180,160
564011,Lake Horowhenua,4,9,150,150
564011,Lake Horowhenua,5,6,200,200
564011,Lake Horowhenua,6+,0,,
564011,Lake Horowhenua,Not Elsewhere Included,0,,
564011,Lake Horowhenua,Total,45,190,180
564012,Waiopehu,1,9,150,150
564012,Waiopehu,2,15,180,310
564012,Waiopehu,3,21,190,190
564012,Waiopehu,4,12,300,290
564012,Waiopehu,5,0,,
564012,Waiopehu,6+,6,,
564012,Waiopehu,Not Elsewhere Included,0,,
564012,Waiopehu,Total,66,230,240
564013,Kohitere,1,6,,
564013,Kohitere,2,6,110,110
564013,Kohitere,3,18,220,220
564013,Kohitere,4,6,290,290
564013,Kohitere,5,3,,
564013,Kohitere,6+,0,,
564013,Kohitere,Not Elsewhere Included,0,,
564013,Kohitere,Total,39,250,260
564021,Mangaore-Manakau,1,12,150,140
564021,Mangaore-Manakau,2,24,170,150
564021,Mangaore-Manakau,3,84,180,190
564021,Mangaore-Manakau,4,39,200,210
564021,Mangaore-Manakau,5,9,270,270
564021,Mangaore-Manakau,6+,0,,
564021,Mangaore-Manakau,Not Elsewhere Included,3,,
564021,Mangaore-Manakau,Total,174,180,190
564022,Otaki Forks,1,6,120,110
564022,Otaki Forks,2,15,220,210
564022,Otaki Forks,3,33,220,260
564022,Otaki Forks,4,12,200,210
564022,Otaki Forks,5,6,230,230
564022,Otaki Forks,6+,3,,
564022,Otaki Forks,Not Elsewhere Included,0,,
564022,Otaki Forks,Total,75,200,220
564023,Te Horo,1,9,190,180
564023,Te Horo,2,12,180,180
564023,Te Horo,3,21,300,320
564023,Te Horo,4,3,,
564023,Te Horo,5,3,,
564023,Te Horo,6+,3,,
564023,Te Horo,Not Elsewhere Included,0,,
564023,Te Horo,Total,48,220,220
564210,Levin North,1,39,140,130
564210,Levin North,2,126,180,190
564210,Levin North,3,132,230,340
564210,Levin North,4,48,260,270
564210,Levin North,5,9,310,310
564210,Levin North,6+,3,,
564210,Levin North,Not Elsewhere Included,0,,
564210,Levin North,Total,357,210,210
564220,Levin West,1,30,140,130
564220,Levin West,2,105,180,200
564220,Levin West,3,153,220,210
564220,Levin West,4,39,210,180
564220,Levin West,5,3,,
564220,Levin West,6+,3,,
564220,Levin West,Not Elsewhere Included,3,,
564220,Levin West,Total,333,200,190
564231,Playford Park,1,72,150,140
564231,Playford Park,2,153,180,170
564231,Playford Park,3,183,220,210
564231,Playford Park,4,42,250,270
564231,Playford Park,5,3,,
564231,Playford Park,6+,3,,
564231,Playford Park,Not Elsewhere Included,3,,
564231,Playford Park,Total,462,200,190
564232,Levin South,1,27,140,120
564232,Levin South,2,54,80,110
564232,Levin South,3,159,200,190
564232,Levin South,4,33,220,200
564232,Levin South,5,3,,
564232,Levin South,6+,0,,
564232,Levin South,Not Elsewhere Included,3,,
564232,Levin South,Total,279,190,180
564240,Levin East,1,69,140,140
564240,Levin East,2,141,180,170
564240,Levin East,3,195,220,280
564240,Levin East,4,48,290,290
564240,Levin East,5,9,270,270
564240,Levin East,6+,3,,
564240,Levin East,Not Elsewhere Included,3,,
564240,Levin East,Total,471,200,200
564400,Otaki,1,96,100,110
564400,Otaki,2,216,200,190
564400,Otaki,3,303,240,270
564400,Otaki,4,90,270,270
564400,Otaki,5,18,290,290
564400,Otaki,6+,3,,
564400,Otaki,Not Elsewhere Included,3,,
564400,Otaki,Total,732,220,230
564510,Heretaunga,1,0,,
564510,Heretaunga,2,24,270,260
564510,Heretaunga,3,30,340,330
564510,Heretaunga,4,9,480,440
564510,Heretaunga,5,3,,
564510,Heretaunga,6+,0,,
564510,Heretaunga,Not Elsewhere Included,0,,
564510,Heretaunga,Total,66,300,310
564520,Trentham South,1,0,,
564520,Trentham South,2,12,100,120
564520,Trentham South,3,48,210,270
564520,Trentham South,4,6,220,220
564520,Trentham South,5,0,,
564520,Trentham South,6+,0,,
564520,Trentham South,Not Elsewhere Included,0,,
564520,Trentham South,Total,69,200,240
564530,Pinehaven,1,9,140,140
564530,Pinehaven,2,42,250,250
564530,Pinehaven,3,45,310,280
564530,Pinehaven,4,24,420,360
