2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit,fare zone
Waipareira West,174.54159,-36.82276,C
Waitakere,174.54351,-36.86036,B
Waitakere West,174.48043,-36.85602,C
Waitaramoa,174.79442,-36.87205,A
Waiuku East,174.73852,-37.24782,C
Waiuku West,174.72458,-37.24816,C
Waiwera,174.70404,-36.55214,B
Wakeling,174.64949,-36.86226,B
Walmsley,174.72569,-36.90068,A
Warkworth,174.66099,-36.40307,C
Waterview,174.69937,-36.87949,A
Wattle Farm,174.88736,-37.04714,B
Weiti River,174.68487,-36.61891,B
Wellsford,174.5224,-36.29266,C
Wesley,174.73201,-36.90623,A
West Harbour,174.62365,-36.82232,B
Westgate,174.6127,-36.82606,B
Westlake,174.7539,-36.78466,B
Westmere,174.72054,-36.85723,A
Weymouth East,174.87152,-37.04062,B
Weymouth West,174.86165,-37.04258,B
Whangapouri Creek,174.89599,-37.09552,C
Whenuapai West,174.61284,-36.79806,B
Windsor Park,174.73074,-36.74277,B
Windy Ridge,174.71624,-36.79593,B
Wiri,174.883,-37.00365,B
Witheford,174.70997,-36.77946,B
Woodglen,174.64362,-36.91682,B
Wymondley,174.85738,-36.95407,B
