2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Fitzroy,174.10286,-39.04807
Flagstaff,175.25329,-37.73328
Flaxmere East,176.79088,-39.62734
Forbury,170.49055,-45.90052
Fordell-Kakatahi,175.26659,-39.7545
Fordlands,176.22448,-38.14249
Forrest Hill,174.74594,-36.76633
Forrester Park,170.55839,-45.83776
Fox Glacier,169.94858,-43.46257
Foxton,175.28542,-40.47114
Foxton Beach,175.24121,-40.47032
Frankleigh,174.0686,-39.08055
Frankton,168.73702,-45.02353
Frankton East,168.72072,-45.00564
Frankton Junction,175.26254,-37.79351
Franz Josef,170.15822,-43.36441
Fraser Park,171.22995,-44.39564
Frasertown,177.41045,-38.9612
Freemans Bay,174.75046,-36.85311
Frimley,176.8279,-39.62217
Fruitvale,174.67182,-36.91617
Gate Pa,176.13561,-37.71527
Georgetown,168.36923,-46.42014
Geraldine,171.24314,-44.09407
Gisborne Airport,177.98782,-38.66401
Gisborne Central,178.01698,-38.66369
Gladstone-Avenal,168.35143,-46.39701
Glamorgan,174.7355,-36.70279
Glen Avon,174.11925,-39.04847
Glen Eden East,174.65665,-36.91234
Glen Innes East,174.87264,-36.87336
Glen Innes North,174.86925,-36.86585
Glen Innes West,174.85787,-36.87373
Glenavon,174.70001,-36.90566
Glenbrook,174.7548,-37.20226
Glendale,174.95637,-41.23802
Glendene North,174.65219,-36.88894
Glendene South,174.65784,-36.89332
Glendhu,174.7103,-36.77207
Glendowie,174.87374,-36.85541
Glenduan,173.35754,-41.20332
Glenfield Central,174.72721,-36.78431
Glenfield North,174.73276,-36.77492
Glenholme East,176.25042,-38.15115
Glenholme West,176.24321,-38.15
Gleniti,171.19728,-44.38299
Glenleith,170.49865,-45.84035
Glenorchy,168.35592,-44.72735
Glenside North,174.81856,-41.19649
Glenview,175.29046,-37.82217
Glenwood,171.20851,-44.38743
Golden Bay,172.61644,-40.8729
Golden Downs,172.74431,-41.50999
Golden Springs,176.35728,-38.44139
Golfland,174.90785,-36.92156
Gonville East,175.02637,-39.93644
Gonville South,175.0327,-39.94573
Gonville West,175.01825,-39.94275
Gordonton,175.31515,-37.67973
Governors Bay,172.64671,-43.65569
Gracefield,174.90977,-41.24075
Grafton East,174.76805,-36.86248
Grafton West,174.7657,-36.8597
Grampians,173.27096,-41.30113
Grandview,175.23485,-37.77879
Grange,174.85267,-36.96154
Granity,171.85239,-41.63524
Grasmere,168.33966,-46.37992
Gravatt,176.2708,-37.70293
Great Barrier Island,175.42322,-36.20103
Green Bay,174.68038,-36.93008
Green Island,170.42718,-45.90396
Greenacres,174.83862,-41.16408
Greenhills,168.38035,-46.51418
Greenhithe,174.68599,-36.76903
Greenmeadows,176.85953,-39.52155
Greenmount,174.90119,-36.94196
Greerton,176.12938,-37.72991
Grenada North,174.84144,-41.18843
Grenada Village,174.82561,-41.20445
Grey Lynn East,174.74494,-36.86141
Grey Lynn West,174.7363,-36.8588
Greymouth Central,171.21238,-42.45291
Greymouth Rural,171.26156,-42.48913
Greymouth South,171.20637,-42.46895
Greytown,175.45496,-41.08095
Gulf Harbour,174.79102,-36.61899
Haast,168.84177,-44.09913
Hagley Park,172.62184,-43.53007
Hairini,176.15996,-37.7436
Halcombe,175.48916,-40.14862
Half Moon Bay,174.89599,-36.88917
